GEOID,name_geoid,lat,lon
0651,Congressional District 51,32.8945,-117.1883
0651,Congressional District 51,32.88835,-117.18301
0651,Congressional District 51,32.81859,-117.08679
0651,Congressional District 51,32.75951,-117.08866
0651,Congressional District 51,32.83155,-117.14662
0651,Congressional District 51,32.89334,-117.19508
0651,Congressional District 51,32.90436,-117.21945
0651,Congressional District 51,32.81394,-117.11746
0608,Congressional District 8,37.90806,-122.2775
0608,Congressional District 8,37.92323,-122.32064
0608,Congressional District 8,38.01734,-122.13683
0628,Congressional District 28,34.18656,-118.15962
0628,Congressional District 28,34.20805,-118.13841
0628,Congressional District 28,34.14446,-118.13318
0628,Congressional District 28,34.1499,-118.10353
0628,Congressional District 28,34.14966,-118.10314
0628,Congressional District 28,34.16008,-118.1134
0628,Congressional District 28,34.10897,-117.70185
0628,Congressional District 28,34.14727,-118.12843
0628,Congressional District 28,34.21307,-118.20347
0628,Congressional District 28,34.21214,-118.15717
0628,Congressional District 28,34.21996,-118.20585
0628,Congressional District 28,34.1472,-117.64909
0628,Congressional District 28,34.14715,-118.09542
0628,Congressional District 28,34.14145,-118.13279
0628,Congressional District 28,34.08511,-117.71458
0630,Congressional District 30,34.17185,-118.18462
0630,Congressional District 30,34.09579,-118.36649
0630,Congressional District 30,34.06928,-118.31863
0602,Congressional District 2,37.91977,-122.5088
0602,Congressional District 2,37.99112,-122.59599
0602,Congressional District 2,38.40186,-122.85168
0602,Congressional District 2,38.00787,-122.54076
0602,Congressional District 2,37.97313,-122.61278
0602,Congressional District 2,38.0155,-122.53448
0634,Congressional District 34,34.06156,-118.30335
0634,Congressional District 34,34.06912,-118.22769
0634,Congressional District 34,34.04766,-118.23939
0905,Congressional District 5,41.38247,-73.4014
0905,Congressional District 5,41.55874,-72.87994
0905,Congressional District 5,41.72528,-72.80628
0905,Congressional District 5,41.69027,-72.7699
0902,Congressional District 2,41.79525,-72.26402
0902,Congressional District 2,41.8093,-72.25632
0902,Congressional District 2,41.87286,-72.37221
