"CBSA_FIPS","CBSA_NAME","state_name","state","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"31117","McPherson County, NE","Nebraska","NE",16.2130492716879,41.9537101806771,0.000149160053299529
"35740","Madison County, NE","Nebraska","NE",260748.108988509,674725.057041948,2.39888260269429
"24260","Merrick County, NE","Nebraska","NE",1488.95133784423,3852.88614462744,0.0136983523081669
"31123","Morrill County, NE","Nebraska","NE",810.349067527138,2096.90042597867,0.00745521142124967
"31125","Nance County, NE","Nebraska","NE",6600.51814965784,17079.8361771842,0.0607247669768521
"31127","Nemaha County, NE","Nebraska","NE",20162.8755450666,52174.4813607614,0.185498455014613
"31129","Nuckolls County, NE","Nebraska","NE",1156.5952872153,2992.86473895456,0.0106406766423807
"31131","Otoe County, NE","Nebraska","NE",107361.182255351,277813.250889291,0.987722876749231
"31133","Pawnee County, NE","Nebraska","NE",45620.7969472528,118050.692455418,0.419711331914726
"31135","Perkins County, NE","Nebraska","NE",592.839109929325,1534.06060667304,0.00545411981134979
"31137","Phelps County, NE","Nebraska","NE",12299.6361789501,31827.163597198,0.113156652846341
"35740","Pierce County, NE","Nebraska","NE",16920.9774618844,43785.581139837,0.155672992649336
"18100","Platte County, NE","Nebraska","NE",134170.90387392,347187.448917184,1.23437231564006
"31143","Polk County, NE","Nebraska","NE",2858.93317509348,7397.92076393956,0.0263021852108601
"31145","Red Willow County, NE","Nebraska","NE",1812.41756978627,4689.90380371947,0.0166742416420337
"31147","Richardson County, NE","Nebraska","NE",58416.2867121147,151160.951988907,0.537429837751456
"31149","Rock County, NE","Nebraska","NE",614.939627251897,1591.24902836084,0.00565744457071745
"31151","Saline County, NE","Nebraska","NE",44604.2396810417,115420.197215811,0.410359005065584
"36540","Sarpy County, NE","Nebraska","NE",2793915.41622803,7229677.50714508,25.7040218292979
"36540","Saunders County, NE","Nebraska","NE",145528.269200355,376576.344573806,1.33886007664326
"42420","Scotts Bluff County, NE","Nebraska","NE",10133.9475656253,26223.1176893328,0.0932323176037529
"30700","Seward County, NE","Nebraska","NE",106275.682270731,275004.355968122,0.977736276890724
"31161","Sheridan County, NE","Nebraska","NE",1851.81011025846,4791.83794322381,0.0170366530143778
