"FIPS","state_name","state","name","budg_NIH_cuts","econ_budg_NIH_cuts","jobs_budg_NIH_cuts"
"06021","California","CA","Glenn County",31225.7185903267,83787.6320510741,0.274786323594875
"06023","California","CA","Humboldt County",105532.680008459,283174.695766705,0.928687584074439
"06025","California","CA","Imperial County",453660.426268205,1217302.10186641,3.9922117511602
"06027","California","CA","Inyo County",131551.263517262,352990.078724812,1.1576511189519
"06029","California","CA","Kern County",1582546.07927609,4246428.73183812,13.9264054976296
"06031","California","CA","Kings County",319099.682361791,856236.717051149,2.80807720478376
"06033","California","CA","Lake County",120304.271866015,322811.148000441,1.05867759242093
"06035","California","CA","Lassen County",17436.9274499141,46788.3183231938,0.153444961559244
"06037","California","CA","Los Angeles County",257597159.648213,691207664.847544,2266.85500490427
"06039","California","CA","Madera County",405585.565221773,1088303.34859151,3.5691529739516
"06041","California","CA","Marin County",12812972.4169415,34380909.9299267,112.754157269085
"06043","California","CA","Mariposa County",186329.07921495,499974.797522005,1.63969589709156
"06045","California","CA","Mendocino County",248358.469534075,666417.587857705,2.18555453189986
"06047","California","CA","Merced County",1733674.63833152,4651950.3553651,15.2563368173174
"06049","California","CA","Modoc County",5084.06139386701,13642.0068016101,0.0447397402660297
"06051","California","CA","Mono County",65579.3914585568,175968.469893439,0.5770986448353
"06053","California","CA","Monterey County",4510770.67095766,12103702.0221549,39.6947819044274
"06055","California","CA","Napa County",1770155.38589631,4749838.74967265,15.5773673958875
"06057","California","CA","Nevada County",361631.881538865,970362.905842066,3.18236055754201
"06059","California","CA","Orange County",47119743.7668354,126435897.436786,414.653745148151
"06061","California","CA","Placer County",4080250.7505058,10948492.5885871,35.906206604451
"06063","California","CA","Plumas County",64557.661030818,173226.871717336,0.568107417071198
"06065","California","CA","Riverside County",17965176.7923799,48205764.0549777,158.093555772943
"06067","California","CA","Sacramento County",20746646.5481458,55669251.6856356,182.570489623683
"06069","California","CA","San Benito County",396411.261413832,1063686.03867882,3.48841910044172
"06071","California","CA","San Bernardino County",17421553.3882444,46747065.2702469,153.309669816551
"06073","California","CA","San Diego County",212197694.711691,569387772.939746,1867.33971346288
