"GEOID","inst_name","budg_CHE_cuts","budg_CBET_cuts","budg_NSF_cuts","state_name","rep_name","pol_party","state","state_FIPS","econ_budg_CHE_cuts","econ_budg_CBET_cuts","econ_budg_NSF_cuts","jobs_budg_CHE_cuts","jobs_budg_CBET_cuts","jobs_budg_NSF_cuts"
"0409","University of California-Los Angeles",750.266455169794,302.59296470303,1052.85941987282,"Arizona","Paul A. Gosar","Republican","AZ","04",1980.70344164826,798.845426815999,2779.54886846426,0.0104203674329138,0.00420268006531986,0.0146230474982337
"0501","Arkansas State University Main Campus",85217.9951538676,52337.6453184561,137555.640472324,"Arkansas","Eric A. “Rick” Crawford","Republican","AR","05",224975.50720621,138171.383640724,363146.890846934,1.18358326602594,0.726911740534113,1.91049500656005
"0501","University of Arkansas",8351.85898673662,16078.8184777039,24430.6774644405,"Arkansas","Eric A. “Rick” Crawford","Republican","AR","05",22048.9077249847,42448.0807811383,64496.9885061229,0.115998041482453,0.223316923301443,0.339314964783896
"0501","University of Memphis",2884.84208478262,1164.11507464417,4048.95715942679,"Arkansas","Eric A. “Rick” Crawford","Republican","AR","05",7615.98310382612,3073.26379706062,10689.2469008867,0.0400672511775364,0.0161682649256135,0.0562355161031499
"0501","Vanderbilt University",668.578787648674,2714.29523382739,3382.87402147607,"Arkansas","Eric A. “Rick” Crawford","Republican","AR","05",1765.0479993925,7165.73941730432,8930.78741669682,0.00928581649512048,0.0376985449142693,0.0469843614093898
"0501","University of Arkansas at Pine Bluff",3306.66741886873,0,3306.66741886873,"Arkansas","Eric A. “Rick” Crawford","Republican","AR","05",8729.60198581345,0,8729.60198581345,0.0459259363731768,0,0.0459259363731768
"0502","University of Arkansas",5369.05220575926,10336.3833070954,15705.4355128546,"Arkansas","J. French Hill","Republican","AR","05",14174.2978232044,27288.0519307317,41462.3497539362,0.0745701695244341,0.143560879265213,0.218131048789647
"0502","Arkansas State University Main Campus",5621.48427618844,3452.50143093839,9073.98570712682,"Arkansas","J. French Hill","Republican","AR","05",14840.7184891375,9114.60377767734,23955.3222668148,0.0780761705026172,0.0479514087630332,0.12602757926565
"0502","Indiana University",7260.22264495045,1375.12559224314,8635.34823719359,"Arkansas","J. French Hill","Republican","AR","05",19166.9877826692,3630.33156352189,22797.3193461911,0.100836425624312,0.0190989665589325,0.119935392183244
"0502","University of Arkansas at Pine Bluff",4087.91301783222,0,4087.91301783222,"Arkansas","J. French Hill","Republican","AR","05",10792.0903670771,0,10792.0903670771,0.0567765696921142,0,0.0567765696921142
"0502","University of Mississippi",728.799446920728,523.388704646651,1252.18815156738,"Arkansas","J. French Hill","Republican","AR","05",1924.03053987072,1381.74618026716,3305.77672013788,0.0101222145405657,0.00726928756453682,0.0173915021051025
"0503","University of Arkansas",346801.001734968,667653.795836085,1014454.79757105,"Arkansas","Steve Womack","Republican","AR","05",915554.644580316,1762606.02100726,2678160.66558758,4.81668057965234,9.27296938661229,14.0896499662646
"0503","Arkansas State University Main Campus",2501.86937566628,1536.5528346484,4038.42221031468,"Arkansas","Steve Womack","Republican","AR","05",6604.93515175898,4056.49948347178,10661.4346352308,0.0347481857731428,0.0213410115923389,0.0560891973654817
"0503","Oklahoma State University",430.941136348589,968.875717228853,1399.81685357744,"Arkansas","Steve Womack","Republican","AR","05",1137.68459996028,2557.83189348417,3695.51649344445,0.00598529356039707,0.0134566071837341,0.0194419007441311
"0503","Missouri University of Science and Technology",367.104221534481,408.529309076216,775.633530610696,"Arkansas","Steve Womack","Republican","AR","05",969.155144851029,1078.51737596121,2047.67252081224,0.00509866974353445,0.0056740181816141,0.0107726879251486
"0503","Louisiana State University",414.199049818312,316.846459072547,731.045508890859,"Arkansas","Steve Womack","Republican","AR","05",1093.48549152034,836.474651951525,1929.96014347187,0.00575276458080989,0.00440064526489649,0.0101534098457064
